chr	pos		N	X
chr19	3285300		12	11
chr19	3285723		7	7
chr19	3285796		8	8
chr19	3285914		6	6
chr19	3285932		9	9
chr19	3286010		10	8
chr19	3286044		10	10
chr19	3286522		2	2
chr19	3286592		13	13
chr19	3287027		14	14
chr19	3287049		13	10
chr19	3287130		9	8
chr19	3287137		11	11
chr19	3287233		17	17
chr19	3287262		14	14
chr19	3287536		5	5
chr19	3287552		6	6
chr19	3287814		14	12
chr19	3287871		13	11
chr19	3290403		7	6
chr19	3290480		14	12
chr19	3290618		18	18
chr19	3290660		9	9
chr19	3290920		10	8
chr19	3290954		10	10
chr19	3291229		17	16
chr19	3291255		19	17
chr19	3292344		8	4
chr19	3292374		9	4
chr19	3292627		7	7
chr19	3292695		14	13
chr19	3294003		15	11
chr19	3294100		13	13
chr19	3295003		2	2
chr19	3295083		18	18
chr19	3295459		8	7
chr19	3295489		7	6
chr19	3295501		9	9
chr19	3295509		11	11
chr19	3295608		5	4
chr19	3295634		5	4
chr19	3297618		10	9
chr19	3297671		9	5
chr19	3297831		15	14
chr19	3297840		17	17
chr19	3298519		20	20
chr19	3298585		7	7
chr19	3301003		12	12
chr19	3301047		14	12
chr19	3301422		16	15
chr19	3301439		14	14
chr19	3301603		26	24
chr19	3301619		26	24
chr19	3302506		41	37
chr19	3302531		36	35
chr19	3304368		16	16
chr19	3304379		19	19
chr19	3304758		21	21
chr19	3304771		21	20
chr19	3305315		30	30
chr19	3305349		27	27
chr19	3305509		12	10
chr19	3305596		8	7
chr19	3306541		12	12
chr19	3306549		13	13
chr19	3307374		6	5
chr19	3307379		7	7
chr19	3307720		4	4
chr19	3307730		6	6
chr19	3307941		13	13
chr19	3307961		15	15
chr19	3308613		25	19
chr19	3308625		24	21
chr19	3310203		19	19
chr19	3310265		18	18
chr19	3310977		28	28
chr19	3310983		28	25
chr19	3311512		9	9
chr19	3311564		12	10
chr19	3312320		24	24
chr19	3312375		12	12
chr19	3312415		16	15
chr19	3312469		19	19
chr19	3314807		16	14
chr19	3314879		23	22
chr19	3315169		28	27
chr19	3315182		19	17
chr19	3316555		30	29
chr19	3316560		31	27
chr19	3317054		10	10
chr19	3317097		7	6
chr19	3317196		4	4
chr19	3317199		5	5
chr19	3317655		24	23
chr19	3317693		30	30
chr19	3319229		22	22
chr19	3319260		22	22
chr19	3319704		7	7
chr19	3319782		11	11
chr19	3319948		12	11
chr19	3319999		19	15
chr19	3320151		10	10
chr19	3320199		6	5
chr19	3320443		17	15
chr19	3320486		23	18
chr19	3321346		19	12
chr19	3321355		19	14
chr19	3321416		16	12
chr19	3321470		12	6
chr19	3321645		13	12
chr19	3321679		9	3
chr19	3322110		17	8
chr19	3322151		17	10
chr19	3322208		15	9
chr19	3322278		18	6
chr19	3323170		4	0
chr19	3323182		4	0
chr19	3325739		27	1
chr19	3325748		28	0
chr19	3325867		13	5
chr19	3325871		12	2
chr19	3326549		16	13
chr19	3326565		14	13
chr19	3326910		15	15
chr19	3326974		16	16
chr19	3328103		16	16
chr19	3328187		10	9
chr19	3328313		10	10
chr19	3328389		14	12
chr19	3329101		12	12
chr19	3329108		11	11
chr19	3329277		28	28
chr19	3329299		39	38
chr19	3329911		11	10
chr19	3329968		7	7
chr19	3331421		13	10
chr19	3331432		11	8
chr19	3331906		10	9
chr19	3331987		13	13
chr19	3333021		8	8
chr19	3333031		6	6
chr19	3333602		26	26
chr19	3333681		22	15
chr19	3334347		13	12
chr19	3334390		12	11
chr19	3334416		11	10
chr19	3334500		17	17
chr19	3334530		15	15
chr19	3334579		9	9
chr19	3335603		14	14
chr19	3335652		11	11
chr19	3335802		12	11
chr19	3335842		8	8
chr19	3336466		21	16
chr19	3336495		18	18
chr19	3336902		6	4
chr19	3336967		6	6
chr19	3337078		15	13
chr19	3337098		16	7
chr19	3337223		6	4
chr19	3337296		10	10
chr19	3339173		11	11
chr19	3339190		10	9
chr19	3339231		13	13
chr19	3339268		13	12
chr19	3339864		7	6
chr19	3339898		10	7
chr19	3340114		11	1
chr19	3340171		16	3
chr19	3340669		11	9
chr19	3340685		12	9
chr19	3342358		7	7
chr19	3342360		9	9
chr19	3342636		18	18
chr19	3342690		16	16
chr19	3343862		26	21
chr19	3343874		29	21
chr19	3347153		23	22
chr19	3347161		23	22
chr19	3349258		3	3
chr19	3349265		4	4
chr19	3350558		5	5
chr19	3350581		1	1
chr19	3351321		10	10
chr19	3351330		10	9
chr19	3351807		19	19
chr19	3351856		24	18
chr19	3351951		21	21
chr19	3351977		22	22
chr19	3352721		12	12
chr19	3352732		12	12
chr19	3355225		21	19
chr19	3355286		18	13
chr19	3355302		16	7
chr19	3355327		15	12
chr19	3355920		9	7
chr19	3355980		6	4
chr19	3356066		2	2
chr19	3356073		2	1
chr19	3356517		6	5
chr19	3356522		6	6
chr19	3356831		12	12
chr19	3356852		13	12
chr19	3357124		4	3
chr19	3357157		4	3
chr19	3357703		13	12
chr19	3357719		13	12
chr19	3357927		3	3
chr19	3357987		4	4
chr19	3358041		7	6
chr19	3358050		7	7
chr19	3358814		18	18
chr19	3358900		12	12
chr19	3360142		12	1
chr19	3360173		21	13
chr19	3363154		10	10
chr19	3363165		14	13
chr19	3363772		8	8
chr19	3363791		11	11
chr19	3363815		13	13
chr19	3363825		11	11
chr19	3363917		11	11
chr19	3363982		12	11
chr19	3364259		23	21
chr19	3364285		20	20
chr19	3364449		15	15
chr19	3364462		16	14
chr19	3365123		4	4
chr19	3365157		8	6
chr19	3365630		8	8
chr19	3365633		8	8
chr19	3365829		13	13
chr19	3365834		12	12
chr19	3366017		11	11
chr19	3366090		17	17
chr19	3366111		18	17
chr19	3366179		16	16
chr19	3366536		13	12
chr19	3366568		9	9
chr19	3366818		21	21
chr19	3366859		22	22
chr19	3367366		10	10
chr19	3367391		10	10
chr19	3368164		16	16
chr19	3368183		9	9
chr19	3368477		26	24
chr19	3368491		25	25
chr19	3369142		15	15
chr19	3369185		15	15
chr19	3370432		9	7
chr19	3370446		11	11
chr19	3370621		13	13
chr19	3370688		21	19
chr19	3372047		9	9
chr19	3372082		5	5
chr19	3373215		20	18
chr19	3373227		19	16
chr19	3373911		15	14
chr19	3373964		20	19
chr19	3375030		4	4
chr19	3375057		8	8
chr19	3375107		11	11
chr19	3375110		11	10
chr19	3376149		15	15
chr19	3376185		14	13
chr19	3377525		19	6
chr19	3377543		17	3
chr19	3378043		11	11
chr19	3378064		11	11
chr19	3379212		10	4
chr19	3379294		13	11
chr19	3379815		9	8
chr19	3379888		11	10
chr19	3379965		11	11
chr19	3379968		11	11
chr19	3380104		3	3
chr19	3380148		5	5
chr19	3381550		9	9
chr19	3381569		8	8
chr19	3381605		6	6
chr19	3381638		5	5
chr19	3381708		8	8
chr19	3381722		7	7
chr19	3382264		27	26
chr19	3382285		19	19
chr19	3383329		2	2
chr19	3383369		5	5
chr19	3384425		10	10
chr19	3384443		10	10
chr19	3384841		10	10
chr19	3384890		15	15
chr19	3385017		15	14
chr19	3385099		21	20
chr19	3385610		29	16
chr19	3385691		24	16
chr19	3386304		10	10
chr19	3386399		16	16
chr19	3386416		14	13
chr19	3386431		15	15
chr19	3386864		24	20
chr19	3386887		23	22
chr19	3387870		7	7
chr19	3387895		10	10
chr19	3387906		14	13
chr19	3387963		15	15
chr19	3388707		6	0
chr19	3388748		3	0
chr19	3389557		9	7
chr19	3389596		9	2
chr19	3390612		11	11
chr19	3390624		14	14
chr19	3392138		14	14
chr19	3392153		12	11
chr19	3393017		9	9
chr19	3393034		12	11
chr19	3393326		5	4
chr19	3393391		6	6
chr19	3394355		16	15
chr19	3394379		13	11
chr19	3395309		36	36
chr19	3395325		33	33
chr19	3395652		12	12
chr19	3395697		21	19
chr19	3396163		12	12
chr19	3396186		10	10
chr19	3399722		5	5
chr19	3399747		5	5
chr19	3400312		9	9
chr19	3400352		15	12
chr19	3400537		17	16
chr19	3400586		10	9
chr19	3400655		12	12
chr19	3400692		14	14
chr19	3401888		13	12
chr19	3401899		13	12
chr19	3402246		12	4
chr19	3402253		10	4
chr19	3402902		12	12
chr19	3402926		16	16
chr19	3404050		13	11
chr19	3404100		13	10
chr19	3404121		14	12
chr19	3404148		10	10
chr19	3404269		7	5
chr19	3404284		8	7
chr19	3404665		21	21
chr19	3404695		16	16
chr19	3407061		7	5
chr19	3407077		8	7
chr19	3407111		5	5
chr19	3407168		5	5
chr19	3407201		5	5
chr19	3407203		5	5
chr19	3407565		6	5
chr19	3407597		9	9
chr19	3407678		19	17
chr19	3407682		19	17
chr19	3408119		6	5
chr19	3408137		9	9
chr19	3408249		10	10
chr19	3408284		10	8
chr19	3409613		7	7
chr19	3409683		13	8
chr19	3410004		22	22
chr19	3410075		15	13
chr19	3410151		16	16
chr19	3410160		17	17
chr19	3411225		11	11
chr19	3411279		7	7
chr19	3411804		12	12
chr19	3411853		12	12
chr19	3412207		10	9
chr19	3412261		11	6
chr19	3413316		15	15
chr19	3413388		11	11
chr19	3413505		7	7
chr19	3413586		9	9
chr19	3414018		9	8
chr19	3414097		9	4
chr19	3414811		7	6
chr19	3414896		5	1
chr19	3415044		11	11
chr19	3415079		12	11
chr19	3415137		8	8
chr19	3415179		11	10
chr19	3415324		7	6
chr19	3415342		6	6
chr19	3416612		14	10
chr19	3416680		11	11
chr19	3416802		19	19
chr19	3416832		16	16
chr19	3417218		15	14
chr19	3417226		15	14
chr19	3417320		13	12
chr19	3417344		12	12
chr19	3419370		9	4
chr19	3419399		8	3
chr19	3420701		4	3
chr19	3420748		11	10
chr19	3421549		16	16
chr19	3421564		12	12
chr19	3422533		17	16
chr19	3422586		16	16
chr19	3422651		18	15
chr19	3422692		11	11
chr19	3422946		13	13
chr19	3422998		18	17
chr19	3423254		14	14
chr19	3423265		12	12
chr19	3423440		26	26
chr19	3423473		23	23
chr19	3423515		22	22
chr19	3423553		17	17
chr19	3423855		6	6
chr19	3423876		8	7
chr19	3423911		7	7
chr19	3423922		7	7
chr19	3424062		8	7
chr19	3424099		8	8
chr19	3425064		12	12
chr19	3425079		15	15
chr19	3425727		14	11
chr19	3425792		16	16
chr19	3425838		11	11
chr19	3425895		9	9
chr19	3426662		5	5
chr19	3426674		6	6
chr19	3427204		11	11
chr19	3427272		13	13
chr19	3427528		19	18
chr19	3427543		22	22
chr19	3427713		24	24
chr19	3427764		18	18
chr19	3428527		9	2
chr19	3428550		8	1
chr19	3428770		31	24
chr19	3428789		35	25
chr19	3429639		3	2
chr19	3429682		6	5
chr19	3429753		14	7
chr19	3429765		18	9
chr19	3430671		11	11
chr19	3430686		11	11
chr19	3430716		9	9
chr19	3430727		7	7
chr19	3430876		12	11
chr19	3430891		11	11
chr19	3431121		11	10
chr19	3431167		9	9
chr19	3431248		6	6
chr19	3431265		5	5
chr19	3431561		22	21
chr19	3431566		21	20
chr19	3431675		8	8
chr19	3431690		7	7
chr19	3431809		8	7
chr19	3431857		6	6
chr19	3433526		11	11
chr19	3433549		9	8
chr19	3434045		12	11
chr19	3434098		11	11
chr19	3434120		12	11
chr19	3434174		14	12
chr19	3434335		11	11
chr19	3434398		8	6
chr19	3435156		11	7
chr19	3435169		11	10
chr19	3435347		5	5
chr19	3435367		4	4
chr19	3435451		9	9
chr19	3435494		13	13
chr19	3435782		19	17
chr19	3435799		19	18
chr19	3436858		17	16
chr19	3436884		16	16
chr19	3437345		8	8
chr19	3437357		7	7
chr19	3438014		7	7
chr19	3438024		7	6
chr19	3438317		14	14
chr19	3438384		17	17
chr19	3438445		17	16
chr19	3438469		19	19
chr19	3438805		4	4
chr19	3438849		8	8
chr19	3439001		11	11
chr19	3439011		12	11
chr19	3440519		8	7
chr19	3440590		11	11
chr19	3441032		30	24
chr19	3441067		20	17
chr19	3442764		9	9
chr19	3442791		11	11
chr19	3444211		9	8
chr19	3444254		14	13
chr19	3444537		5	5
chr19	3444549		6	6
chr19	3444921		17	17
chr19	3444969		17	16
chr19	3445262		16	16
chr19	3445264		16	14
chr19	3445301		18	18
chr19	3445373		10	9
chr19	3446014		6	5
chr19	3446050		4	3
chr19	3446249		13	13
chr19	3446257		15	15
chr19	3446501		20	18
chr19	3446531		14	14
chr19	3447264		5	5
chr19	3447291		8	8
chr19	3447527		13	10
chr19	3447565		8	7
chr19	3448205		12	11
chr19	3448289		16	14
chr19	3448801		30	29
chr19	3448832		29	29
chr19	3449233		29	26
chr19	3449294		29	28
chr19	3451401		6	0
chr19	3451454		11	0
chr19	3452353		5	2
chr19	3452378		5	1
chr19	3453459		10	9
chr19	3453472		8	8
chr19	3454002		14	14
chr19	3454064		10	10
chr19	3454404		15	6
chr19	3454498		17	10
chr19	3454669		15	8
chr19	3454675		15	11
chr19	3454920		15	10
chr19	3454993		12	10
chr19	3455609		15	13
chr19	3455611		15	15
chr19	3456033		6	6
chr19	3456035		6	5
chr19	3456731		30	30
chr19	3456788		27	27
chr19	3457115		12	9
chr19	3457154		10	10
chr19	3458530		16	16
chr19	3458552		16	15
chr19	3459524		12	12
chr19	3459580		12	12
chr19	3459654		9	6
chr19	3459672		8	7
chr19	3460368		11	9
chr19	3460370		11	9
chr19	3460473		18	15
chr19	3460498		17	16
chr19	3460516		17	16
chr19	3460576		19	19
chr19	3461005		23	23
chr19	3461018		19	18
chr19	3461163		17	14
chr19	3461171		16	16
chr19	3464239		19	11
chr19	3464247		16	10
chr19	3464506		18	14
chr19	3464573		14	12
chr19	3464606		17	16
chr19	3464618		19	15
chr19	3464779		12	12
chr19	3464789		14	13
chr19	3465563		4	4
chr19	3465594		12	12
chr19	3466541		13	12
chr19	3466572		20	20
chr19	3466759		18	16
chr19	3466765		20	15
chr19	3467838		8	5
chr19	3467862		5	2
chr19	3468221		27	23
chr19	3468287		17	13
chr19	3469412		17	17
chr19	3469432		19	18
chr19	3469811		23	21
chr19	3469878		24	24
chr19	3470961		17	17
chr19	3470990		15	15
chr19	3471041		18	18
chr19	3471064		29	29
chr19	3472136		20	20
chr19	3472159		19	19
chr19	3472391		19	15
chr19	3472396		20	19
chr19	3473803		16	16
chr19	3473834		14	14
chr19	3474414		17	15
chr19	3474494		20	16
chr19	3475972		9	6
chr19	3475994		10	2
chr19	3479709		24	20
chr19	3479765		21	16
chr19	3479919		15	5
chr19	3479934		18	7
chr19	3480201		12	0
chr19	3480296		8	0
chr19	3481041		12	11
chr19	3481043		12	10
chr19	3482032		20	20
chr19	3482066		20	19
chr19	3482637		11	11
chr19	3482664		15	14
chr19	3482714		17	17
chr19	3482766		12	12
chr19	3483024		9	0
chr19	3483100		5	0
chr19	3485606		8	7
chr19	3485613		10	10
chr19	3485714		11	11
chr19	3485720		11	10
chr19	3488067		21	20
chr19	3488070		19	19
chr19	3489329		28	26
chr19	3489389		23	20
chr19	3490564		22	10
chr19	3490578		20	11
chr19	3491324		20	19
chr19	3491330		20	19
chr19	3493864		17	13
chr19	3493894		16	15
chr19	3494211		32	32
chr19	3494231		28	25
chr19	3494606		15	13
chr19	3494634		17	17
chr19	3496533		10	10
chr19	3496568		13	12
chr19	3498768		28	28
chr19	3498786		31	29
chr19	3505719		17	17
chr19	3505727		18	18
chr19	3506232		12	10
chr19	3506253		11	9
chr19	3507127		13	13
chr19	3507140		14	14
chr19	3507623		26	8
chr19	3507641		24	21
chr19	3508222		12	11
chr19	3508289		11	11
chr19	3508666		31	14
chr19	3508698		25	23
chr19	3509654		20	20
chr19	3509666		20	20
chr19	3509702		6	6
chr19	3509781		5	5
chr19	3511216		30	27
chr19	3511235		24	23
chr19	3512001		20	16
chr19	3512040		25	17
chr19	3512224		19	13
chr19	3512288		17	12
chr19	3512333		20	18
chr19	3512357		17	11
chr19	3512819		14	9
chr19	3512838		15	12
chr19	3513622		26	26
chr19	3513659		19	18
chr19	3514207		11	11
chr19	3514209		10	9
chr19	3514302		18	17
chr19	3514388		21	15
chr19	3514604		24	14
chr19	3514666		14	8
chr19	3517508		14	14
chr19	3517575		11	11
chr19	3517708		13	12
chr19	3517723		16	15
chr19	3519905		13	12
chr19	3519917		12	11
chr19	3521181		20	16
chr19	3521192		17	17
chr19	3522328		14	13
chr19	3522381		25	24
chr19	3522828		17	16
chr19	3522853		20	16
chr19	3524643		19	19
chr19	3524672		18	17
chr19	3525213		14	1
chr19	3525264		26	8
chr19	3525819		23	11
chr19	3525840		22	19
chr19	3526804		38	13
chr19	3526884		23	4
chr19	3527224		25	15
chr19	3527255		16	16
chr19	3527603		25	1
chr19	3527635		18	1
chr19	3530044		9	4
chr19	3530084		9	6
chr19	3531622		21	20
chr19	3531687		23	22
chr19	3532516		14	14
chr19	3532555		14	14
chr19	3532619		13	13
chr19	3532696		20	19
chr19	3532809		17	16
chr19	3532866		15	15
chr19	3534844		14	12
chr19	3534885		14	14
chr19	3534958		21	12
chr19	3534989		21	17
chr19	3535806		23	22
chr19	3535848		17	13
chr19	3539081		24	14
chr19	3539084		23	21
chr19	3539131		25	12
chr19	3539142		22	7
chr19	3539614		11	10
chr19	3539623		11	11
chr19	3539811		19	19
chr19	3539836		23	22
chr19	3540070		23	23
chr19	3540084		20	20
chr19	3540106		24	24
chr19	3540181		35	32
chr19	3540213		37	37
chr19	3540236		36	35
chr19	3540608		26	21
chr19	3540665		20	17
chr19	3541113		19	19
chr19	3541179		17	16
chr19	3541371		12	10
chr19	3541387		11	11
chr19	3541406		7	6
chr19	3541423		5	5
chr19	3541726		26	14
chr19	3541757		32	15
chr19	3542724		16	16
chr19	3542766		11	11
chr19	3543411		18	16
chr19	3543495		21	21
chr19	3544506		34	23
chr19	3544513		31	19
chr19	3551301		18	7
chr19	3551325		15	4
chr19	3551852		13	9
chr19	3551869		15	13
chr19	3552166		34	34
chr19	3552196		32	25
chr19	3552746		14	12
chr19	3552749		14	13
chr19	3553512		25	24
chr19	3553594		43	39
chr19	3555568		22	22
chr19	3555571		20	19
chr19	3557540		19	11
chr19	3557542		17	11
chr19	3558930		19	19
chr19	3558957		18	17
chr19	3562016		25	25
chr19	3562072		27	22
chr19	3567842		26	24
chr19	3567872		22	16
chr19	3567907		18	10
chr19	3567968		15	6
chr19	3568303		34	29
chr19	3568373		31	24
chr19	3571566		12	11
chr19	3571581		10	8
chr19	3571856		8	8
chr19	3571876		6	6
chr19	3572236		21	21
chr19	3572269		16	15
chr19	3572521		33	32
chr19	3572589		20	20
chr19	3572607		18	15
chr19	3572663		23	22
chr19	3576710		15	15
chr19	3576759		17	15
chr19	3577440		7	5
chr19	3577484		9	9
chr19	3579137		9	6
chr19	3579197		14	14
chr19	3580781		12	12
chr19	3580792		15	15
chr19	3580817		10	10
chr19	3580842		10	8
chr19	3581324		9	7
chr19	3581330		8	6
chr19	3581437		6	0
