chr	pos		N	X
chr19	3270440		12	12
chr19	3270462		10	9
chr19	3270626		9	8
chr19	3270681		20	19
chr19	3271635		13	13
chr19	3271693		14	14
chr19	3272039		19	19
chr19	3272046		17	17
chr19	3272241		17	16
chr19	3272298		22	21
chr19	3272916		9	8
chr19	3272989		17	16
chr19	3273261		20	18
chr19	3273293		15	15
chr19	3273322		11	11
chr19	3273352		6	6
chr19	3273404		12	12
chr19	3273443		17	17
chr19	3273620		6	5
chr19	3273686		9	9
chr19	3274153		18	17
chr19	3274176		18	18
chr19	3274507		17	17
chr19	3274529		18	18
chr19	3275639		14	11
chr19	3275664		19	11
chr19	3276618		12	11
chr19	3276629		17	17
chr19	3277010		11	8
chr19	3277072		15	14
chr19	3277239		15	14
chr19	3277296		20	14
chr19	3277587		11	9
chr19	3277590		10	9
chr19	3277722		11	11
chr19	3277760		16	15
chr19	3279816		11	10
chr19	3279832		14	13
chr19	3280025		21	21
chr19	3280036		23	21
chr19	3280354		14	11
chr19	3280395		13	13
chr19	3280417		9	9
chr19	3280426		9	9
chr19	3280961		21	16
chr19	3280986		18	15
chr19	3281414		12	10
chr19	3281487		13	11
chr19	3281508		12	12
chr19	3281547		15	12
chr19	3281661		15	15
chr19	3281681		13	13
chr19	3282086		24	12
chr19	3282099		24	10
chr19	3282651		6	0
chr19	3282688		9	0
chr19	3283729		21	1
chr19	3283785		8	4
chr19	3284062		28	27
chr19	3284068		30	26
chr19	3284396		25	25
chr19	3284400		24	21
chr19	3284780		26	22
chr19	3284800		29	29
chr19	3285240		17	14
chr19	3285300		13	12
chr19	3285723		18	17
chr19	3285796		21	20
chr19	3285914		22	22
chr19	3285932		23	19
chr19	3286010		14	13
chr19	3286044		13	13
chr19	3286522		13	12
chr19	3286592		24	22
chr19	3287027		14	14
chr19	3287049		16	15
chr19	3287130		21	19
chr19	3287137		21	20
chr19	3287233		14	11
chr19	3287262		21	19
chr19	3287536		8	8
chr19	3287552		7	7
chr19	3287814		18	17
chr19	3287871		15	12
chr19	3290403		12	6
chr19	3290480		14	12
chr19	3290618		25	21
chr19	3290660		19	17
chr19	3290920		11	8
chr19	3290954		16	14
chr19	3291229		20	18
chr19	3291255		17	17
chr19	3292344		18	11
chr19	3292374		17	8
chr19	3292627		18	17
chr19	3292695		15	9
chr19	3294003		29	19
chr19	3294100		24	23
chr19	3295003		3	3
chr19	3295083		14	13
chr19	3295459		15	14
chr19	3295489		12	12
chr19	3295501		10	8
chr19	3295509		11	10
chr19	3295608		9	7
chr19	3295634		10	6
chr19	3297618		20	16
chr19	3297671		19	13
chr19	3297831		25	23
chr19	3297840		24	21
chr19	3298519		18	17
chr19	3298585		7	7
chr19	3301003		13	13
chr19	3301047		13	10
chr19	3301422		16	14
chr19	3301439		16	16
chr19	3301603		27	26
chr19	3301619		25	20
chr19	3302506		42	39
chr19	3302531		41	39
chr19	3304368		17	8
chr19	3304379		20	10
chr19	3304758		24	22
chr19	3304771		23	20
chr19	3305315		19	19
chr19	3305349		17	16
chr19	3305509		18	13
chr19	3305596		15	13
chr19	3306541		15	14
chr19	3306549		18	17
chr19	3307374		7	4
chr19	3307379		7	5
chr19	3307720		7	7
chr19	3307730		8	8
chr19	3307941		19	18
chr19	3307961		18	15
chr19	3308613		36	24
chr19	3308625		35	26
chr19	3310203		28	25
chr19	3310265		16	14
chr19	3310977		17	17
chr19	3310983		18	18
chr19	3311512		10	6
chr19	3311564		13	6
chr19	3312320		26	25
chr19	3312375		20	18
chr19	3312415		19	16
chr19	3312469		17	14
chr19	3314807		25	25
chr19	3314879		35	25
chr19	3315169		15	14
chr19	3315182		14	10
chr19	3316555		19	15
chr19	3316560		20	19
chr19	3317054		14	10
chr19	3317097		10	9
chr19	3317196		10	8
chr19	3317199		11	11
chr19	3317655		25	24
chr19	3317693		30	26
chr19	3319229		19	16
chr19	3319260		14	14
chr19	3319704		14	14
chr19	3319782		15	15
chr19	3319948		13	7
chr19	3319999		24	16
chr19	3320151		9	9
chr19	3320199		15	12
chr19	3320443		17	4
chr19	3320486		20	17
chr19	3321346		20	15
chr19	3321355		19	14
chr19	3321416		19	14
chr19	3321470		12	6
chr19	3321645		8	5
chr19	3321679		10	5
chr19	3322110		25	6
chr19	3322151		23	5
chr19	3322208		22	7
chr19	3322278		20	5
chr19	3323170		6	0
chr19	3323182		8	0
chr19	3325739		29	0
chr19	3325748		29	2
chr19	3325867		15	2
chr19	3325871		17	1
chr19	3326549		12	3
chr19	3326565		12	9
chr19	3326910		29	27
chr19	3326974		28	28
chr19	3328103		21	15
chr19	3328187		12	8
chr19	3328313		6	4
chr19	3328389		15	9
chr19	3329101		14	14
chr19	3329108		14	13
chr19	3329277		29	27
chr19	3329299		29	23
chr19	3329911		19	14
chr19	3329968		15	10
chr19	3331421		24	23
chr19	3331432		26	26
chr19	3331906		25	23
chr19	3331987		25	25
chr19	3333021		14	13
chr19	3333031		14	13
chr19	3333602		34	25
chr19	3333681		29	17
chr19	3334347		17	9
chr19	3334390		12	5
chr19	3334416		12	9
chr19	3334500		8	7
chr19	3334530		13	3
chr19	3334579		14	10
chr19	3335603		10	10
chr19	3335652		8	7
chr19	3335802		19	16
chr19	3335842		16	14
chr19	3336466		15	12
chr19	3336495		17	11
chr19	3336902		7	5
chr19	3336967		5	2
chr19	3337078		15	8
chr19	3337098		10	4
chr19	3337223		7	6
chr19	3337296		13	9
chr19	3339173		12	11
chr19	3339190		13	6
chr19	3339231		12	9
chr19	3339268		10	5
chr19	3339864		9	7
chr19	3339898		12	11
chr19	3340114		16	15
chr19	3340171		18	15
chr19	3340669		16	15
chr19	3340685		13	10
chr19	3342358		8	8
chr19	3342360		8	8
chr19	3342636		19	18
chr19	3342690		26	25
chr19	3343862		20	12
chr19	3343874		24	13
chr19	3347153		20	20
chr19	3347161		21	19
chr19	3349258		11	10
chr19	3349265		8	8
chr19	3350558		5	5
chr19	3350581		3	2
chr19	3351321		13	12
chr19	3351330		14	14
chr19	3351807		14	13
chr19	3351856		15	12
chr19	3351951		33	33
chr19	3351977		31	31
chr19	3352721		17	15
chr19	3352732		13	13
chr19	3355225		16	13
chr19	3355286		11	4
chr19	3355302		12	6
chr19	3355327		13	11
chr19	3355920		17	16
chr19	3355980		18	15
chr19	3356066		9	9
chr19	3356073		9	9
chr19	3356517		5	5
chr19	3356522		6	5
chr19	3356831		29	28
chr19	3356852		28	25
chr19	3357124		15	9
chr19	3357157		13	7
chr19	3357703		22	18
chr19	3357719		21	15
chr19	3357927		15	12
chr19	3357987		10	6
chr19	3358041		17	16
chr19	3358050		20	19
chr19	3358814		14	14
chr19	3358900		8	6
chr19	3360142		18	10
chr19	3360173		19	12
chr19	3363154		14	14
chr19	3363165		14	13
chr19	3363772		10	8
chr19	3363791		13	9
chr19	3363815		14	14
chr19	3363825		17	15
chr19	3363917		17	15
chr19	3363982		14	11
chr19	3364259		34	31
chr19	3364285		34	32
chr19	3364449		31	30
chr19	3364462		26	25
chr19	3365123		7	6
chr19	3365157		17	17
chr19	3365630		16	16
chr19	3365633		16	15
chr19	3365829		23	23
chr19	3365834		23	22
chr19	3366017		10	10
chr19	3366090		11	9
chr19	3366111		13	13
chr19	3366179		14	13
chr19	3366536		12	12
chr19	3366568		11	11
chr19	3366818		30	27
chr19	3366859		22	19
chr19	3367366		12	11
chr19	3367391		17	16
chr19	3368164		12	12
chr19	3368183		12	11
chr19	3368477		21	16
chr19	3368491		22	20
chr19	3369142		10	10
chr19	3369185		13	13
chr19	3370432		10	6
chr19	3370446		10	9
chr19	3370621		14	12
chr19	3370688		19	17
chr19	3372047		20	19
chr19	3372082		14	14
chr19	3373215		19	18
chr19	3373227		20	17
chr19	3373911		14	14
chr19	3373964		29	25
chr19	3375030		14	13
chr19	3375057		10	2
chr19	3375107		10	10
chr19	3375110		10	8
chr19	3376149		14	9
chr19	3376185		17	12
chr19	3377525		9	1
chr19	3377543		12	2
chr19	3378043		13	12
chr19	3378064		12	8
chr19	3379212		14	3
chr19	3379294		9	8
chr19	3379815		20	20
chr19	3379888		21	19
chr19	3379965		10	10
chr19	3379968		9	9
chr19	3380104		13	13
chr19	3380148		13	13
chr19	3381550		13	11
chr19	3381569		15	14
chr19	3381605		15	15
chr19	3381638		13	10
chr19	3381708		5	5
chr19	3381722		5	4
chr19	3382264		30	24
chr19	3382285		24	24
chr19	3383329		2	2
chr19	3383369		2	2
chr19	3384425		16	16
chr19	3384443		15	14
chr19	3384841		12	11
chr19	3384890		13	13
chr19	3385017		17	16
chr19	3385099		25	22
chr19	3385610		27	24
chr19	3385691		28	20
chr19	3386304		28	26
chr19	3386399		24	19
chr19	3386416		25	22
chr19	3386431		19	18
chr19	3386864		24	20
chr19	3386887		26	19
chr19	3387870		14	14
chr19	3387895		12	11
chr19	3387906		14	11
chr19	3387963		18	17
chr19	3388707		6	0
chr19	3388748		3	0
chr19	3389557		12	12
chr19	3389596		17	12
chr19	3390612		11	11
chr19	3390624		14	14
chr19	3392138		16	16
chr19	3392153		14	14
chr19	3393017		13	12
chr19	3393034		11	10
chr19	3393326		9	3
chr19	3393391		7	7
chr19	3394355		12	12
chr19	3394379		13	12
chr19	3395309		35	32
chr19	3395325		31	31
chr19	3395652		12	12
chr19	3395697		16	12
chr19	3396163		16	16
chr19	3396186		14	12
chr19	3399722		12	10
chr19	3399747		13	11
chr19	3400312		14	13
chr19	3400352		15	15
chr19	3400537		17	16
chr19	3400586		15	13
chr19	3400655		16	16
chr19	3400692		18	18
chr19	3401888		13	12
chr19	3401899		13	10
chr19	3402246		7	2
chr19	3402253		8	3
chr19	3402902		18	15
chr19	3402926		13	10
chr19	3404050		18	10
chr19	3404100		28	16
chr19	3404121		30	27
chr19	3404148		33	32
chr19	3404269		18	14
chr19	3404284		16	15
chr19	3404665		15	14
chr19	3404695		12	10
chr19	3407061		9	8
chr19	3407077		9	9
chr19	3407111		10	9
chr19	3407168		7	6
chr19	3407201		16	15
chr19	3407203		17	15
chr19	3407565		14	4
chr19	3407597		15	11
chr19	3407678		21	19
chr19	3407682		24	22
chr19	3408119		18	7
chr19	3408137		17	10
chr19	3408249		21	19
chr19	3408284		15	9
chr19	3409613		17	16
chr19	3409683		17	6
chr19	3410004		29	14
chr19	3410075		24	19
chr19	3410151		17	11
chr19	3410160		20	18
chr19	3411225		14	12
chr19	3411279		10	3
chr19	3411804		11	8
chr19	3411853		13	11
chr19	3412207		12	11
chr19	3412261		17	4
chr19	3413316		14	9
chr19	3413388		11	10
chr19	3413505		10	8
chr19	3413586		16	12
chr19	3414018		6	3
chr19	3414097		11	6
chr19	3414811		14	5
chr19	3414896		6	2
chr19	3415044		12	11
chr19	3415079		18	15
chr19	3415137		18	16
chr19	3415179		15	13
chr19	3415324		13	13
chr19	3415342		14	14
chr19	3416612		12	5
chr19	3416680		15	14
chr19	3416802		11	9
chr19	3416832		12	10
chr19	3417218		20	13
chr19	3417226		18	15
chr19	3417320		20	16
chr19	3417344		16	15
chr19	3419370		14	8
chr19	3419399		12	3
chr19	3420701		9	9
chr19	3420748		12	9
chr19	3421549		25	23
chr19	3421564		21	20
chr19	3422533		28	16
chr19	3422586		20	11
chr19	3422651		11	3
chr19	3422692		6	3
chr19	3422946		16	14
chr19	3422998		15	6
chr19	3423254		9	4
chr19	3423265		10	5
chr19	3423440		11	11
chr19	3423473		18	16
chr19	3423515		18	17
chr19	3423553		18	16
chr19	3423855		10	9
chr19	3423876		9	9
chr19	3423911		11	10
chr19	3423922		13	13
chr19	3424062		16	14
chr19	3424099		14	14
chr19	3425064		14	14
chr19	3425079		15	12
chr19	3425727		24	15
chr19	3425792		21	20
chr19	3425838		14	13
chr19	3425895		9	9
chr19	3426662		14	13
chr19	3426674		17	15
chr19	3427204		9	8
chr19	3427272		6	4
chr19	3427528		16	16
chr19	3427543		19	19
chr19	3427713		23	18
chr19	3427764		15	13
chr19	3428527		10	8
chr19	3428550		11	5
chr19	3428770		27	25
chr19	3428789		27	18
chr19	3429639		13	4
chr19	3429682		17	13
chr19	3429753		19	7
chr19	3429765		21	16
chr19	3430671		8	7
chr19	3430686		9	8
chr19	3430716		13	12
chr19	3430727		12	11
chr19	3430876		14	13
chr19	3430891		12	10
chr19	3431121		15	14
chr19	3431167		12	12
chr19	3431248		6	5
chr19	3431265		5	3
chr19	3431561		22	17
chr19	3431566		25	23
chr19	3431675		17	15
chr19	3431690		15	14
chr19	3431809		19	16
chr19	3431857		18	12
chr19	3433526		18	9
chr19	3433549		17	12
chr19	3434045		14	6
chr19	3434098		7	2
chr19	3434120		10	8
chr19	3434174		17	6
chr19	3434335		16	11
chr19	3434398		9	1
chr19	3435156		14	7
chr19	3435169		13	11
chr19	3435347		10	10
chr19	3435367		9	9
chr19	3435451		12	10
chr19	3435494		12	12
chr19	3435782		18	15
chr19	3435799		12	9
chr19	3436858		14	11
chr19	3436884		15	15
chr19	3437345		13	10
chr19	3437357		11	10
chr19	3438014		12	11
chr19	3438024		14	10
chr19	3438317		14	11
chr19	3438384		13	12
chr19	3438445		18	10
chr19	3438469		18	15
chr19	3438805		15	14
chr19	3438849		13	9
chr19	3439001		10	7
chr19	3439011		11	10
chr19	3440519		17	11
chr19	3440590		18	16
chr19	3441032		16	3
chr19	3441067		14	2
chr19	3442764		14	13
chr19	3442791		13	12
chr19	3444211		16	14
chr19	3444254		13	7
chr19	3444537		23	22
chr19	3444549		22	20
chr19	3444921		13	10
chr19	3444969		12	4
chr19	3445262		18	15
chr19	3445264		17	13
chr19	3445301		20	17
chr19	3445373		14	9
chr19	3446014		11	10
chr19	3446050		10	7
chr19	3446249		31	28
chr19	3446257		34	33
chr19	3446501		32	27
chr19	3446531		27	26
chr19	3447264		12	12
chr19	3447291		13	12
chr19	3447527		14	4
chr19	3447565		8	7
chr19	3448205		12	9
chr19	3448289		17	11
chr19	3448801		25	24
chr19	3448832		29	27
chr19	3449233		33	24
chr19	3449294		32	27
chr19	3451401		12	0
chr19	3451454		10	0
chr19	3452353		6	1
chr19	3452378		3	0
chr19	3453459		13	13
chr19	3453472		11	11
chr19	3454002		16	16
chr19	3454064		13	13
chr19	3454404		23	18
chr19	3454498		22	21
chr19	3454669		13	11
chr19	3454675		15	13
chr19	3454920		16	14
chr19	3454993		14	11
chr19	3455609		20	20
chr19	3455611		19	19
chr19	3456033		23	21
chr19	3456035		22	18
chr19	3456731		28	25
chr19	3456788		27	23
chr19	3457115		13	13
chr19	3457154		14	12
chr19	3458530		28	26
chr19	3458552		29	27
chr19	3459524		13	8
chr19	3459580		15	13
chr19	3459654		13	10
chr19	3459672		12	10
chr19	3460368		14	13
chr19	3460370		13	13
chr19	3460473		19	18
chr19	3460498		28	27
chr19	3460516		27	25
chr19	3460576		21	19
chr19	3461005		16	11
chr19	3461018		17	13
chr19	3461163		12	9
chr19	3461171		12	11
chr19	3464239		21	19
chr19	3464247		21	19
chr19	3464506		17	15
chr19	3464573		19	19
chr19	3464606		13	13
chr19	3464618		12	11
chr19	3464779		14	14
chr19	3464789		16	15
chr19	3465563		10	10
chr19	3465594		13	11
chr19	3466541		29	22
chr19	3466572		22	19
chr19	3466759		16	14
chr19	3466765		16	16
chr19	3467838		20	17
chr19	3467862		27	25
chr19	3468221		17	17
chr19	3468287		17	17
chr19	3469412		25	23
chr19	3469432		26	26
chr19	3469811		32	31
chr19	3469878		22	21
chr19	3470961		28	28
chr19	3470990		27	26
chr19	3471041		30	29
chr19	3471064		24	22
chr19	3472136		27	24
chr19	3472159		21	19
chr19	3472391		30	29
chr19	3472396		31	30
chr19	3473803		19	19
chr19	3473834		23	20
chr19	3474414		21	19
chr19	3474494		29	28
chr19	3475972		17	17
chr19	3475994		14	13
chr19	3479709		34	31
chr19	3479765		28	21
chr19	3479919		27	14
chr19	3479934		26	24
chr19	3480201		17	11
chr19	3480296		17	11
chr19	3481041		12	12
chr19	3481043		12	12
chr19	3482032		30	30
chr19	3482066		25	24
chr19	3482637		9	9
chr19	3482664		9	8
chr19	3482714		16	15
chr19	3482766		14	14
chr19	3483024		23	19
chr19	3483100		16	15
chr19	3485606		12	12
chr19	3485613		11	11
chr19	3485714		19	19
chr19	3485720		20	19
chr19	3488067		12	12
chr19	3488070		12	12
chr19	3489329		47	39
chr19	3489389		34	31
chr19	3490564		16	15
chr19	3490578		18	18
chr19	3491324		11	11
chr19	3491330		11	11
chr19	3493864		29	23
chr19	3493894		28	26
chr19	3494211		25	22
chr19	3494231		25	21
chr19	3494606		19	19
chr19	3494634		19	18
chr19	3496533		17	16
chr19	3496568		17	17
chr19	3498768		38	37
chr19	3498786		36	35
chr19	3505719		18	18
chr19	3505727		17	16
chr19	3506232		20	16
chr19	3506253		18	18
chr19	3507127		38	31
chr19	3507140		41	38
chr19	3507623		22	12
chr19	3507641		18	18
chr19	3508222		37	37
chr19	3508289		21	20
chr19	3508666		25	24
chr19	3508698		28	28
chr19	3509654		16	16
chr19	3509666		12	12
chr19	3511216		20	20
chr19	3511235		21	20
chr19	3512001		23	20
chr19	3512040		27	25
chr19	3512224		16	9
chr19	3512288		23	21
chr19	3512333		31	31
chr19	3512357		31	31
chr19	3512819		21	19
chr19	3512838		16	15
chr19	3513622		33	29
chr19	3513659		31	29
chr19	3514207		12	12
chr19	3514209		12	12
chr19	3514302		20	18
chr19	3514388		25	25
chr19	3514604		27	26
chr19	3514666		26	25
chr19	3517508		17	17
chr19	3517575		23	23
chr19	3517708		23	21
chr19	3517723		20	19
chr19	3519905		15	9
chr19	3519917		16	10
chr19	3521181		21	20
chr19	3521192		21	17
chr19	3522328		22	17
chr19	3522381		19	12
chr19	3522828		23	23
chr19	3522853		19	17
chr19	3524643		16	15
chr19	3524672		15	14
chr19	3525213		13	9
chr19	3525264		18	18
chr19	3525819		29	25
chr19	3525840		25	25
chr19	3526804		24	23
chr19	3526884		22	21
chr19	3527224		15	14
chr19	3527255		14	13
chr19	3527603		36	32
chr19	3527635		31	27
chr19	3530044		14	9
chr19	3530084		21	17
chr19	3531622		32	26
chr19	3531687		43	41
chr19	3532516		21	21
chr19	3532555		26	25
chr19	3532619		21	21
chr19	3532696		25	22
chr19	3532809		23	22
chr19	3532866		19	11
chr19	3534844		16	4
chr19	3534885		17	7
chr19	3534958		21	11
chr19	3534989		23	18
chr19	3535806		17	13
chr19	3535848		19	15
chr19	3539081		31	17
chr19	3539084		33	29
chr19	3539131		36	18
chr19	3539142		39	14
chr19	3539614		9	4
chr19	3539623		8	6
chr19	3539811		19	19
chr19	3539836		21	21
chr19	3540070		32	31
chr19	3540084		28	28
chr19	3540106		25	25
chr19	3540181		32	31
chr19	3540213		36	36
chr19	3540236		37	35
chr19	3540608		32	29
chr19	3540665		22	21
chr19	3541113		21	20
chr19	3541179		25	23
chr19	3541371		24	23
chr19	3541387		18	17
chr19	3541406		12	11
chr19	3541423		8	8
chr19	3541726		28	27
chr19	3541757		20	18
chr19	3542724		18	15
chr19	3542766		21	20
chr19	3543411		18	14
chr19	3543495		22	15
chr19	3544506		27	20
chr19	3544513		26	20
chr19	3551301		23	9
chr19	3551325		24	14
chr19	3551852		15	10
chr19	3551869		15	11
chr19	3552166		28	26
chr19	3552196		28	27
chr19	3552746		14	12
chr19	3552749		15	14
chr19	3553512		34	33
chr19	3553594		40	38
chr19	3555568		13	13
chr19	3555571		14	13
chr19	3557540		32	28
chr19	3557542		32	31
chr19	3558930		22	19
chr19	3558957		14	14
chr19	3562016		21	20
chr19	3562072		18	12
chr19	3567842		24	14
chr19	3567872		24	21
chr19	3567907		26	11
chr19	3567968		29	5
chr19	3568303		26	20
chr19	3568373		20	11
chr19	3571566		10	10
chr19	3571581		12	12
chr19	3571856		13	13
chr19	3571876		9	9
chr19	3572236		17	15
chr19	3572269		13	10
chr19	3572521		21	20
chr19	3572589		25	22
chr19	3572607		23	21
chr19	3572663		21	20
chr19	3576710		13	12
chr19	3576759		22	18
chr19	3577440		8	8
chr19	3577484		8	7
chr19	3579137		19	8
chr19	3579197		20	14
chr19	3580781		14	12
chr19	3580792		13	13
chr19	3580817		15	15
chr19	3580842		17	15
chr19	3581324		17	11
chr19	3581330		17	9
chr19	3581437		14	1
chr19	3581470		10	0
chr19	3581563		7	0
chr19	3581572		10	0
chr19	3581615		19	1
